rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,date,channel_type_count,countYTB,avg_monthly_earnings,avg_yearly_earnings,subscribers_s,video views_s,uploads_s,avg_monthly_earnings_s,channel_type_count_s
37,Marshmello,56400000,14696003229.0,Entertainment,Marshmello,436,United States,US,Music,233.0,11.0,15.0,112100000.0,28000.0,448400.0,336300.0,5400000.0,100000.0,2015.0,Apr,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2015,Apr,6",215.0,0.5,238200.0,2868150.0,1.8951439621830688,0.6445615451315789,0.0144702430735327,0.3296680483568497,7.05298013245033
38,YRF,54600000,35302243691.0,Film & Animation,YRF,3707,India,IN,Music,28.0,15.0,16.0,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,500000.0,2006.0,Jun,7.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2006,Jun,7",215.0,0.5,1064000.0,13050000.0,1.8177911474000863,1.5483440215350877,0.1230302547559308,1.472572642534375,7.05298013245033
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239.0,Music,LooLoo Kids - Nursery Rhymes and Children's ÃÂÃÂ¯ÃÂÃÂ¿ÃÂÃÂ½,11,,,,3800129.0,,,159.0,0.04,0.64,0.48,8.0,,2016.0,Nov,29.0,,,,,,,"2016,Nov,29",,0.5,0.34,4.24,1.7920068758057588,1.4172118964473683,0.0003650749399285,4.7055892712564614e-07,
40,Ed Sheeran,53500000,30367676736.0,Music,Ed Sheeran,383,United Kingdom,GB,Music,39.0,1.0,18.0,202720000.0,50700.0,810900.0,608200.0,9700000.0,100000.0,2006.0,Aug,8.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,"2006,Aug,8",215.0,0.5,430800.0,5154100.0,1.770519982810486,1.3319156463157895,0.012711245635695,0.5962258406050834,7.05298013245033
41,Infobells - Hindi,53300000,30516172739.0,Education,Infobells - Hindi,577,India,IN,Education,37.0,16.0,4.0,815949000.0,204000.0,3300000.0,2400000.0,39200000.0,1600000.0,2014.0,Jun,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2014,Jun,6",49.0,0.5,1752000.0,20800000.0,1.761925225612377,1.3384286289035088,0.019149840030799,2.4247624715415648,1.5562913907284766
42,Taylor Swift,52900000,29884657286.0,Music,Taylor Swift,216,United States,US,Music,40.0,13.0,19.0,528392000.0,132100.0,2100000.0,1600000.0,25400000.0,800000.0,2006.0,Sep,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2006,Sep,20",215.0,0.5,1116050.0,13500000.0,1.7447357112161588,1.310730582719298,0.0071687442749611,1.5446096782899337,7.05298013245033
43,Ariana Grande,52700000,24004842608.0,Music,Ariana Grande,147,United States,US,Music,78.0,14.0,20.0,160216000.0,40100.0,640900.0,480600.0,7700000.0,100000.0,2007.0,Jan,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2007,Jan,22",215.0,0.5,340500.0,4090300.0,1.7361409540180497,1.0528439740350877,0.0048787287426819,0.4712509255478897,7.05298013245033
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274.0,Education,BillionSurpriseToys  - Nursery Rhymes & CartÃÂÃÂ¯ÃÂÃÂ¿ÃÂÃÂ½,847,United States,US,Education,450.0,15.0,5.0,266747000.0,66700.0,1100000.0,800200.0,12800000.0,600000.0,2013.0,Oct,25.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2013,Oct,25",49.0,0.5,583350.0,6800100.0,1.7146540610227765,0.4332177751754386,0.0281107703745005,0.8073545592316049,1.5562913907284766
45,JuegaGerman,48100000,14631710289.0,Gaming,JuegaGerman,2052,Chile,CL,Games,237.0,1.0,2.0,66388000.0,16600.0,265600.0,199200.0,3200000.0,200000.0,2013.0,May,19.0,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969,"2013,May,19",97.0,0.5,141100.0,1699600.0,1.5384615384615388,0.6417416793421052,0.0681030706121311,0.1952819547571431,3.14569536423841
46,Billie Eilish,47900000,13626331061.0,Music,Billie Eilish,65,United States,US,Music,263.0,16.0,21.0,146862000.0,36700.0,587400.0,440600.0,7000000.0,200000.0,2013.0,Feb,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2013,Feb,6",215.0,0.5,312050.0,3720300.0,1.5298667812634297,0.5976460991666667,0.0021572610086688,0.431876215322229,7.05298013245033
